Number,Latitude,Longitude,Circumference_in,DBH_cm
1,30.617563,-96.338426,6.299212598,5.092958179
2,30.617575,-96.338379,35.43307087,28.64788976
3,30.61723,-96.338203,90.94488189,73.52958371
4,30.617167,-96.338064,58.66141732,47.42817304
5,30.617095,-96.33818,14.96062992,12.09577567
6,30.616907,-96.338453,72.44094488,58.56901906
7,30.616993,-96.338572,62.99212598,50.92958179
8,30.61713,-96.338565,14.56692913,11.77746579
9,30.617091,-96.338419,7.480314961,6.047887837
10,30.617048,-96.338502,12.5984252,10.18591636
11,30.617168,-96.338479,83.07086614,67.16338598
12,30.617186,-96.338499,77.55905512,62.70704758
13,30.617206,-96.338526,5.511811024,4.456338407
14,30.617292,-96.338603,3.149606299,2.546479089
15,30.617327,-96.338633,3.149606299,2.546479089
16,30.617361,-96.338679,2.362204724,1.909859317
17,30.617411,-96.338716,3.543307087,2.864788976
18,30.617414,-96.33885,3.149606299,2.546479089
19,30.617362,-96.338887,2.755905512,2.228169203
20,30.617605,-96.339015,5.905511811,4.774648293
21,30.61755,-96.339015,90.15748031,72.89296394
22,30.617517,-96.339066,39.37007874,31.83098862
23,30.617445,-96.338985,38.97637795,31.51267873
24,30.617518,-96.338931,9.842519685,7.957747155
25,30.617573,-96.338861,84.64566929,68.43662553
26,30.617579,-96.338727,10.23622047,8.276057041
27,30.617662,-96.338666,94.09448819,76.0760628
28,30.617687,-96.338853,6.299212598,5.092958179
29,30.617701,-96.33877,7.874015748,6.366197724
30,30.617798,-96.338643,7.480314961,6.047887837
