"Number","Latitude","Longitude","Circumference_in","DBH_cm","Group","Zone"
1,30.6174,-96.3389,73.5,59.4553,1,"A"
2,30.6175,-96.339,63.5,51.3662,1,"A"
3,30.6174,-96.3389,81.5,65.9267,1,"A"
4,30.6175,-96.3389,75,60.6687,1,"A"
5,30.6176,-96.3389,5.5,4.449,1,"A"
6,30.6176,-96.3389,3.25,2.6289,1,"A"
7,30.6173,-96.3389,3.5,2.8311,1,"A"
8,30.6173,-96.3389,2.9,2.3459,1,"A"
9,30.6171,-96.3387,40.5,32.7609,1,"A"
10,30.6171,-96.3387,2.5,2.0223,1,"A"
11,30.6171,-96.3387,5.8,4.6916,1,"A"
12,30.6171,-96.3388,3.5,2.8311,1,"A"
13,30.6171,-96.3388,3,2.4267,1,"A"
14,30.6171,-96.3388,1.9,1.5369,1,"A"
15,30.617,-96.3388,5,4.0447,1,"A"
16,30.617,-96.3386,90.2,72.9643,1,"A"
17,30.617,-96.3386,38.5,31.1432,1,"A"
18,30.6169,-96.3387,90.9,73.5035,1,"A"
19,30.6171,-96.3383,86,69.5668,1,"A"
20,30.6172,-96.3381,32,25.8854,1,"A"
21,30.6173,-96.3381,93.5,75.6338,1,"A"
22,30.6174,-96.3382,33.5,27.0988,1,"A"
23,30.6176,-96.3383,32.5,26.2898,1,"A"
24,30.6178,-96.3383,6.5,5.2581,1,"A"
25,30.6178,-96.3393,5.25,4.2466,1,"A"
26,30.6178,-96.3368,91,73.6115,1,"A"
27,30.6178,-96.3387,6,4.8534,1,"A"
28,30.6177,-96.3387,35.25,28.5143,1,"A"
29,30.6177,-96.3388,51,41.2547,1,"A"
30,30.6177,-96.3386,1.8,1.4559,1,"A"
1,30.617563,-96.338426,6.299212598,5.092958179,2,"A"
2,30.617575,-96.338379,35.43307087,28.64788976,2,"A"
3,30.61723,-96.338203,90.94488189,73.52958371,2,"A"
4,30.617167,-96.338064,58.66141732,47.42817304,2,"A"
5,30.617095,-96.33818,14.96062992,12.09577567,2,"A"
6,30.616907,-96.338453,72.44094488,58.56901906,2,"A"
7,30.616993,-96.338572,62.99212598,50.92958179,2,"A"
8,30.61713,-96.338565,14.56692913,11.77746579,2,"A"
9,30.617091,-96.338419,7.480314961,6.047887837,2,"A"
10,30.617048,-96.338502,12.5984252,10.18591636,2,"A"
11,30.617168,-96.338479,83.07086614,67.16338598,2,"A"
12,30.617186,-96.338499,77.55905512,62.70704758,2,"A"
13,30.617206,-96.338526,5.511811024,4.456338407,2,"A"
14,30.617292,-96.338603,3.149606299,2.546479089,2,"A"
15,30.617327,-96.338633,3.149606299,2.546479089,2,"A"
16,30.617361,-96.338679,2.362204724,1.909859317,2,"A"
17,30.617411,-96.338716,3.543307087,2.864788976,2,"A"
18,30.617414,-96.33885,3.149606299,2.546479089,2,"A"
19,30.617362,-96.338887,2.755905512,2.228169203,2,"A"
20,30.617605,-96.339015,5.905511811,4.774648293,2,"A"
21,30.61755,-96.339015,90.15748031,72.89296394,2,"A"
22,30.617517,-96.339066,39.37007874,31.83098862,2,"A"
23,30.617445,-96.338985,38.97637795,31.51267873,2,"A"
24,30.617518,-96.338931,9.842519685,7.957747155,2,"A"
25,30.617573,-96.338861,84.64566929,68.43662553,2,"A"
26,30.617579,-96.338727,10.23622047,8.276057041,2,"A"
27,30.617662,-96.338666,94.09448819,76.0760628,2,"A"
28,30.617687,-96.338853,6.299212598,5.092958179,2,"A"
29,30.617701,-96.33877,7.874015748,6.366197724,2,"A"
30,30.617798,-96.338643,7.480314961,6.047887837,2,"A"
1,30.617802,-96.338391,37.4015748,40,3,"A"
2,30.617524,-96.338392,32.480315,44,3,"A"
3,30.617404,-96.338306,33.8582677,45,3,"A"
4,30.617328,-96.337901,32.0866142,37,3,"A"
5,30.617131,-96.338076,10.2362205,11,3,"A"
6,30.617271,-96.338196,93.503937,96,3,"A"
7,30.617241,-96.338226,6.2992126,8,3,"A"
8,30.61708,-96.338222,85.0393701,101,3,"A"
9,30.616821,-96.33837,13.7795276,14,3,"A"
10,30.6167776,-96.3385648,91.3385827,87,3,"A"
11,30.616945,-96.338446,9.05511811,10,3,"A"
12,30.616992,-96.338555,38.5826772,37,3,"A"
13,30.617124,-96.33856,40.5511811,35,3,"A"
14,30.61705,-96.338498,90.5511811,84,3,"A"
15,30.617082,-96.338457,5.70866142,6,3,"A"
16,30.617164,-96.338504,2.95275591,3,3,"A"
17,30.617192,-96.338523,2.95275591,2.5,3,"A"
18,30.617226,-96.338558,3.1496063,3,3,"A"
19,30.617294,-96.338623,2.95275591,3,3,"A"
20,30.617345,-96.338674,3.54330709,4,3,"A"
21,30.617381,-96.338703,3.1496063,3.5,3,"A"
22,30.617438,-96.338767,5.70866142,6,3,"A"
23,30.617373,-96.338881,82.0866142,70,3,"A"
24,30.617489,-96.338941,62.992126,55,3,"A"
25,30.61755,-96.33903,7.67716535,10,3,"A"
26,30.617547,-96.338958,72.2440945,48,3,"A"
27,30.617612,-96.338935,14.5669291,14,3,"A"
28,30.617581,-96.338838,58.2677165,50,3,"A"
29,30.61767,-96.338708,91.7322835,67,3,"A"
30,30.617823,-96.338693,50.7874016,52,3,"A"
1,30.6180556,-96.34083333,26,65.489,5,"B"
2,30.6180556,-96.34083333,21,53.361,5,"B"
3,30.6180556,-96.34055556,2,82.468,5,"B"
4,30.61777778,-96.34055556,27,76,5,"B"
5,30.61777778,-96.34083333,7,25.872,5,"B"
6,30.61777778,-96.34083333,6,25.468,5,"B"
7,30.61777778,-96.34083333,8,26.115,5,"B"
8,30.61777778,-96.34083333,7,25.872,5,"B"
9,30.6180556,-96.34083333,9,29.106,5,"B"
