"","date","price","organic","conventional","avocados_sold","year","region"
"1",2015-12-27,1.33,0,1,"64236.62",2015,"Albany"
"2",2015-12-20,1.35,0,1,"54876.98",2015,"Albany"
"3",2015-12-13,0.93,0,1,"118220.22",2015,"Albany"
"4",2015-12-06,1.08,0,1,"78992.15",2015,"Albany"
"5",2015-11-29,1.28,0,1,"51039.6",2015,"Albany"
"6",2015-11-22,1.26,0,1,"55979.78",2015,"Albany"
"7",2015-11-15,0.99,0,1,"83453.76",2015,"Albany"
"8",2015-11-08,0.98,0,1,"109428.33",2015,"Albany"
"9",2015-11-01,1.02,0,1,"99811.42",2015,"Albany"
"10",2015-10-25,1.07,0,1,"74338.76",2015,"Albany"
"11",2015-10-18,1.12,0,1,"84843.44",2015,"Albany"
"12",2015-10-11,1.28,0,1,"64489.17",2015,"Albany"
"13",2015-10-04,1.31,0,1,"61007.1",2015,"Albany"
"14",2015-09-27,0.99,0,1,"106803.39",2015,"Albany"
"15",2015-09-20,1.33,0,1,"69759.01",2015,"Albany"
"16",2015-09-13,1.28,0,1,"76111.27",2015,"Albany"
"17",2015-09-06,1.11,0,1,"99172.96",2015,"Albany"
"18",2015-08-30,1.07,0,1,"105693.84",2015,"Albany"
"19",2015-08-23,1.34,0,1,"79992.09",2015,"Albany"
"20",2015-08-16,1.33,0,1,"80043.78",2015,"Albany"
"21",2015-08-09,1.12,0,1,"111140.93",2015,"Albany"
"22",2015-08-02,1.45,0,1,"75133.1",2015,"Albany"
"23",2015-07-26,1.11,0,1,"106757.1",2015,"Albany"
"24",2015-07-19,1.26,0,1,"96617",2015,"Albany"
"25",2015-07-12,1.05,0,1,"124055.31",2015,"Albany"
"26",2015-07-05,1.35,0,1,"109252.12",2015,"Albany"
"27",2015-06-28,1.37,0,1,"89534.81",2015,"Albany"
"28",2015-06-21,1.27,0,1,"104849.39",2015,"Albany"
"29",2015-06-14,1.32,0,1,"89631.3",2015,"Albany"
"30",2015-06-07,1.07,0,1,"122743.06",2015,"Albany"
"31",2015-05-31,1.23,0,1,"95123.62",2015,"Albany"
"32",2015-05-24,1.19,0,1,"101470.91",2015,"Albany"
"33",2015-05-17,NA,0,1,"109857.47",2015,"Albany"
"34",2015-05-10,1.26,0,1,"120427.91",2015,"Albany"
"35",2015-05-03,1.2,0,1,"59197.67",2015,"Albany"
"36",2015-04-26,1.22,0,1,"49585.46",2015,"Albany"
"37",2015-04-19,1.19,0,1,"49064.73",2015,"Albany"
"38",2015-04-12,1.13,0,1,"48364.29",2015,"Albany"
"39",2015-04-05,1.16,0,1,"47362.13",2015,"Albany"
"40",2015-03-29,1.02,0,1,"67799.08",2015,"Albany"
"41",2015-03-22,1.12,0,1,"46346.85",2015,"Albany"
"42",2015-03-15,1.11,0,1,"43045.79",2015,"Albany"
"43",2015-03-08,1.07,0,1,"40507.36",2015,"Albany"
"44",2015-03-01,0.99,0,1,"55595.74",2015,"Albany"
"45",2015-02-22,1.07,0,1,"45675.05",2015,"Albany"
"46",2015-02-15,1.06,0,1,"41567.62",2015,"Albany"
"47",2015-02-08,0.99,0,1,"51253.97",2015,"Albany"
"48",2015-02-01,0.99,0,1,"70873.6",2015,"Albany"
"49",2015-01-25,1.06,0,1,"45147.5",2015,"Albany"
"50",2015-01-18,1.17,0,1,"44511.28",2015,"Albany"
"51",2015-01-11,1.24,0,1,"41195.08",2015,"Albany"
"52",2015-01-04,1.22,0,1,"40873.28",2015,"Albany"
"53",2015-12-27,0.99,0,1,"386100.49",2015,"Atlanta"
"54",2015-12-20,1.08,0,1,"331377.53",2015,"Atlanta"
"55",2015-12-13,0.96,0,1,"417772.47",2015,"Atlanta"
"56",2015-12-06,1.07,0,1,"357636.82",2015,"Atlanta"
"57",2015-11-29,0.99,0,1,"333280.79",2015,"Atlanta"
"58",2015-11-22,1,0,1,"356414.57",2015,"Atlanta"
"59",2015-11-15,1.13,0,1,"339860.68",2015,"Atlanta"
"60",2015-11-08,1.12,0,1,"334041.6",2015,"Atlanta"
"61",2015-11-01,0.99,0,1,"419088.74",2015,"Atlanta"
"62",2015-10-25,1.09,0,1,"358478.08",2015,"Atlanta"
"63",2015-10-18,1.09,0,1,"349072.48",2015,"Atlanta"
"64",2015-10-11,0.95,0,1,"433874.46",2015,"Atlanta"
"65",2015-10-04,0.96,0,1,"418682.26",2015,"Atlanta"
"66",2015-09-27,1.07,0,1,"370321.17",2015,"Atlanta"
"67",2015-09-20,0.93,0,1,"516432.6",2015,"Atlanta"
"68",2015-09-13,1.07,0,1,"417232.18",2015,"Atlanta"
"69",2015-09-06,0.97,0,1,"472136.53",2015,"Atlanta"
"70",2015-08-30,1.15,0,1,"382972.72",2015,"Atlanta"
"71",2015-08-23,1.12,0,1,"379054.29",2015,"Atlanta"
"72",2015-08-16,1.09,0,1,"465213.81",2015,"Atlanta"
"73",2015-08-09,1.01,0,1,"503791.72",2015,"Atlanta"
"74",2015-08-02,1.15,0,1,"405898.44",2015,"Atlanta"
"75",2015-07-26,1.08,0,1,"437377.75",2015,"Atlanta"
"76",2015-07-19,0.97,0,1,"557212.99",2015,"Atlanta"
"77",2015-07-12,1.14,0,1,"407204.88",2015,"Atlanta"
"78",2015-07-05,1.01,0,1,"562462.33",2015,"Atlanta"
"79",2015-06-28,1.13,0,1,"435210.71",2015,"Atlanta"
"80",2015-06-21,0.99,0,1,"554763.76",2015,"Atlanta"
"81",2015-06-14,1.1,0,1,"465804.78",2015,"Atlanta"
"82",2015-06-07,0.99,0,1,"551009.05",2015,"Atlanta"
"83",2015-05-31,1.1,0,1,"454702",2015,"Atlanta"
"84",2015-05-24,0.96,0,1,"623212.04",2015,"Atlanta"
"85",2015-05-17,1.11,0,1,"451250.7",2015,"Atlanta"
"86",2015-05-10,1.1,0,1,"480071.18",2015,"Atlanta"
"87",2015-05-03,1,0,1,"634213.1",2015,"Atlanta"
"88",2015-04-26,1.12,0,1,"448596.76",2015,"Atlanta"
"89",2015-04-19,1.12,0,1,"430966.34",2015,"Atlanta"
"90",2015-04-12,0.99,0,1,"451101.89",2015,"Atlanta"
"91",2015-04-05,1.04,0,1,"383139.49",2015,"Atlanta"
"92",2015-03-29,1.11,0,1,"365722.14",2015,"Atlanta"
"93",2015-03-22,1,0,1,"479590.62",2015,"Atlanta"
"94",2015-03-15,1.12,0,1,"399566.22",2015,"Atlanta"
"95",2015-03-08,1.1,0,1,"420826.32",2015,"Atlanta"
"96",2015-03-01,0.99,0,1,"512532.44",2015,"Atlanta"
"97",2015-02-22,1.1,0,1,"431308.56",2015,"Atlanta"
"98",2015-02-15,1.06,0,1,"427391.28",2015,"Atlanta"
"99",2015-02-08,1.03,0,1,"433883.91",2015,"Atlanta"
"100",2015-02-01,0.96,0,1,"636771.37",2015,"Atlanta"
"101",2015-01-25,1.1,0,1,"449332.85",2015,"Atlanta"
"102",2015-01-18,1.11,0,1,"431490.99",2015,"Atlanta"
"103",2015-01-11,1.11,0,1,"397542.72",2015,"Atlanta"
"104",2015-01-04,1,0,1,"435021.49",2015,"Atlanta"
"105",2015-12-27,1.17,0,1,"596819.4",2015,"BaltimoreWashington"
"106",2015-12-20,1.11,0,1,"642682.4",2015,"BaltimoreWashington"
"107",2015-12-13,1.15,0,1,"619509.33",2015,"BaltimoreWashington"
"108",2015-12-06,1.04,0,1,"649141.25",2015,"BaltimoreWashington"
"109",2015-11-29,1.16,0,1,"545800.05",2015,"BaltimoreWashington"
"110",2015-11-22,1.12,0,1,"572019.8",2015,"BaltimoreWashington"
"111",2015-11-15,1.04,0,1,"718330.48",2015,"BaltimoreWashington"
"112",2015-11-08,1.05,0,1,"830967.23",2015,"BaltimoreWashington"
"113",2015-11-01,1.12,0,1,"742220.67",2015,"BaltimoreWashington"
"114",2015-10-25,1.19,0,1,"656892.03",2015,"BaltimoreWashington"
"115",2015-10-18,0.99,0,1,"1005603.78",2015,"BaltimoreWashington"
"116",2015-10-11,1.24,0,1,"653560.14",2015,"BaltimoreWashington"
"117",2015-10-04,1.28,0,1,"657444.04",2015,"BaltimoreWashington"
"118",2015-09-27,1.19,0,1,"696281.81",2015,"BaltimoreWashington"
"119",2015-09-20,1.17,0,1,"709268.62",2015,"BaltimoreWashington"
"120",2015-09-13,1.09,0,1,"924993.61",2015,"BaltimoreWashington"
"121",2015-09-06,1.18,0,1,"823623.36",2015,"BaltimoreWashington"
"122",2015-08-30,1.24,0,1,"734721.29",2015,"BaltimoreWashington"
"123",2015-08-23,1.16,0,1,"783935.36",2015,"BaltimoreWashington"
"124",2015-08-16,1.14,0,1,"882754.72",2015,"BaltimoreWashington"
"125",2015-08-09,1.16,0,1,"821523.45",2015,"BaltimoreWashington"
