"date","price","avocados_sold","type","year","region"
2015-01-04,0.74,1086363.97,"conventional",2015,"DallasFtWorth"
2015-01-04,1.35,9895.96,"organic",2015,"DallasFtWorth"
2015-01-11,0.76,1128693.04,"conventional",2015,"DallasFtWorth"
2015-01-11,1.35,12126.63,"organic",2015,"DallasFtWorth"
2015-01-18,0.76,1091677.29,"conventional",2015,"DallasFtWorth"
2015-01-18,1.28,12634.71,"organic",2015,"DallasFtWorth"
2015-01-25,0.8,1008295.47,"conventional",2015,"DallasFtWorth"
2015-01-25,1.34,11247.71,"organic",2015,"DallasFtWorth"
2015-02-01,0.68,1391089.32,"conventional",2015,"DallasFtWorth"
2015-02-01,1.24,12276.58,"organic",2015,"DallasFtWorth"
2015-02-08,0.67,1207167.54,"conventional",2015,"DallasFtWorth"
2015-02-08,1.35,10315.32,"organic",2015,"DallasFtWorth"
2015-02-15,0.77,1020856.87,"conventional",2015,"DallasFtWorth"
2015-02-15,1.41,10958.57,"organic",2015,"DallasFtWorth"
2015-02-22,0.8,1116600.76,"conventional",2015,"DallasFtWorth"
2015-02-22,1.38,15485.45,"organic",2015,"DallasFtWorth"
2015-03-01,0.82,1144032.03,"conventional",2015,"DallasFtWorth"
2015-03-01,1.29,17267.84,"organic",2015,"DallasFtWorth"
2015-03-08,0.75,1218684.28,"conventional",2015,"DallasFtWorth"
2015-03-08,1.39,8557.95,"organic",2015,"DallasFtWorth"
2015-03-15,0.72,1211158.55,"conventional",2015,"DallasFtWorth"
2015-03-15,1.34,11922.76,"organic",2015,"DallasFtWorth"
2015-03-22,0.67,1333424.37,"conventional",2015,"DallasFtWorth"
2015-03-22,1.29,13176.92,"organic",2015,"DallasFtWorth"
2015-03-29,0.79,1164808.22,"conventional",2015,"DallasFtWorth"
2015-03-29,1.36,9162.06,"organic",2015,"DallasFtWorth"
2015-04-05,0.77,1324348.89,"conventional",2015,"DallasFtWorth"
2015-04-05,1.36,11720.06,"organic",2015,"DallasFtWorth"
2015-04-12,0.72,1266899.55,"conventional",2015,"DallasFtWorth"
2015-04-12,1.39,11119.47,"organic",2015,"DallasFtWorth"
2015-04-19,0.8,1137811.87,"conventional",2015,"DallasFtWorth"
2015-04-19,1.35,12054.84,"organic",2015,"DallasFtWorth"
2015-04-26,0.81,1102639.51,"conventional",2015,"DallasFtWorth"
2015-04-26,1.34,9855.14,"organic",2015,"DallasFtWorth"
2015-05-03,0.77,1282852.08,"conventional",2015,"DallasFtWorth"
2015-05-03,1.37,6568.67,"organic",2015,"DallasFtWorth"
2015-05-10,0.75,1298826.19,"conventional",2015,"DallasFtWorth"
2015-05-10,1.39,10242.6,"organic",2015,"DallasFtWorth"
2015-05-17,0.73,1219398.43,"conventional",2015,"DallasFtWorth"
2015-05-17,1.35,11092.7,"organic",2015,"DallasFtWorth"
2015-05-24,0.81,1184131.34,"conventional",2015,"DallasFtWorth"
2015-05-24,1.36,12809.78,"organic",2015,"DallasFtWorth"
2015-05-31,0.68,1377670.81,"conventional",2015,"DallasFtWorth"
2015-05-31,1.38,9882.68,"organic",2015,"DallasFtWorth"
2015-06-07,0.73,1255575.78,"conventional",2015,"DallasFtWorth"
2015-06-07,1.35,9019,"organic",2015,"DallasFtWorth"
2015-06-14,0.65,1508750.45,"conventional",2015,"DallasFtWorth"
2015-06-14,1.35,9881.65,"organic",2015,"DallasFtWorth"
2015-06-21,0.75,1283503.44,"conventional",2015,"DallasFtWorth"
2015-06-21,1.37,9936.12,"organic",2015,"DallasFtWorth"
2015-06-28,0.77,1203553.98,"conventional",2015,"DallasFtWorth"
2015-06-28,1.33,11792.51,"organic",2015,"DallasFtWorth"
2015-07-05,0.83,1320696.13,"conventional",2015,"DallasFtWorth"
2015-07-05,1.3,13234.04,"organic",2015,"DallasFtWorth"
2015-07-12,0.82,1144448.23,"conventional",2015,"DallasFtWorth"
2015-07-12,1.27,11076.72,"organic",2015,"DallasFtWorth"
2015-07-19,0.82,1186878.88,"conventional",2015,"DallasFtWorth"
2015-07-19,1.29,11881.44,"organic",2015,"DallasFtWorth"
2015-07-26,0.8,1191310.92,"conventional",2015,"DallasFtWorth"
2015-07-26,1.14,12801.03,"organic",2015,"DallasFtWorth"
2015-08-02,0.87,1067498.21,"conventional",2015,"DallasFtWorth"
2015-08-02,1.31,12992.93,"organic",2015,"DallasFtWorth"
2015-08-09,0.85,1124259.51,"conventional",2015,"DallasFtWorth"
2015-08-09,1.4,16702.43,"organic",2015,"DallasFtWorth"
2015-08-16,0.88,1122668.33,"conventional",2015,"DallasFtWorth"
2015-08-16,1.45,13268.55,"organic",2015,"DallasFtWorth"
2015-08-23,0.85,1120172.03,"conventional",2015,"DallasFtWorth"
2015-08-23,1.36,17429.71,"organic",2015,"DallasFtWorth"
2015-08-30,0.82,1101680.91,"conventional",2015,"DallasFtWorth"
2015-08-30,1.36,14317.26,"organic",2015,"DallasFtWorth"
2015-09-06,0.84,1270739.69,"conventional",2015,"DallasFtWorth"
