type,lat,lon,temp
dirt,30.616601,-96.340509,22.7
dirt,30.616739,-96.340278,22.8
dirt,30.615754,-96.340236,23
dirt,30.616687,-96.340297,22
dirt,30.61628,-96.340213,24
dirt,30.616759,-96.340218,23
dirt,30.615784,-96.340355,23.9
dirt,30.615785,-96.340354,23.9
dirt,30.616601,-96.340504,24.6
dirt,30.61579,-96.340317,25.2
dirt,30.616643,-96.340349,24.6
dirt,30.616506,-96.340467,25
dirt,30.615757,-96.340332,24.4
dirt,30.616201,-96.340163,23.7
dirt,30.616396,-96.340351,22.4
dirt,30.616625,-96.340514,22
dirt,30.616455,-96.340433,22.4
dirt,30.615911,-96.340037,22.1
dirt,30.616581,-96.340587,22.8
dirt,30.616822,-96.340209,24
dirt,30.616523,-96.340607,24
dirt,30.61586,-96.340123,22
dirt,30.616193,-96.340031,23.6
dirt,30.616562,-96.340629,22.8
dirt,30.616719,-96.340262,20.1
dirt,30.61656,-96.340658,21.5
dirt,30.616039,-96.340001,22.3
dirt,30.615773,-96.340282,21.7
dirt,30.6161,-96.340392,22
dirt,30.61607,-96.340371,21.5
grass,30.616077,-96.340204,21.3
grass,30.616226,-96.340653,21
grass,30.615875,-96.340238,20.8
grass,30.616066,-96.340342,21
grass,30.615899,-96.340291,21
grass,30.615992,-96.340309,20.2
grass,30.616056,-96.340279,21.1
grass,30.616366,-96.340594,21
grass,30.615857,-96.340189,21
grass,30.615937,-96.340304,21.3
grass,30.61631,-96.34051,21.3
grass,30.615837,-96.340156,21
grass,30.61606,-96.340355,21.5
grass,30.616197,-96.34042,21
grass,30.616195,-96.340386,20.8
grass,30.616366,-96.340557,20
grass,30.616248,-96.34059,20.8
grass,30.616023,-96.340323,20.1
grass,30.616018,-96.340379,20.2
grass,30.616035,-96.340251,20.2
grass,30.616321,-96.34056,20.7
grass,30.616056,-96.340231,20.1
grass,30.616244,-96.340494,20.2
grass,30.61605,-96.34031,20.5
grass,30.616223,-96.340582,20.4
grass,30.615754,-96.340093,20.1
grass,30.615999,-96.340353,20
grass,30.616092,-96.340278,19.5
grass,30.615917,-96.340275,19.8
grass,30.616042,-96.340285,20.2
sidewalk,30.616071,-96.340478,22.2
sidewalk,30.616193,-96.340604,23.1
sidewalk,30.616145,-96.340553,23.4
sidewalk,30.616135,-96.340482,22.4
sidewalk,30.61615,-96.340502,21.8
sidewalk,30.616101,-96.34045,22.6
sidewalk,30.616048,-96.340456,22.7
sidewalk,30.615949,-96.340365,23.1
sidewalk,30.615975,-96.340326,22.8
sidewalk,30.616169,-96.340527,23.1
sidewalk,30.616123,-96.340531,23.6
sidewalk,30.615986,-96.340335,23.7
sidewalk,30.61596,-96.340318,23.6
sidewalk,30.615915,-96.340328,23.1
sidewalk,30.616267,-96.340609,22.6
sidewalk,30.616214,-96.340577,22.3
sidewalk,30.615972,-96.340387,22.7
sidewalk,30.616081,-96.340421,22
sidewalk,30.61599,-96.340404,22.3
sidewalk,30.616045,-96.340389,22
sidewalk,30.616037,-96.340447,22.7
sidewalk,30.61593,-96.340344,22.3
sidewalk,30.615898,-96.340314,22.4
sidewalk,30.616119,-96.340468,22.1
sidewalk,30.616108,-96.340512,22.3
sidewalk,30.61619,-96.340544,22.3
sidewalk,30.616089,-96.340499,22.6
sidewalk,30.616024,-96.340352,22.6
sidewalk,30.615948,-96.340301,22.7
sidewalk,30.61618,-96.340583,22.4
lot,30.616537,-96.34221,21.7
lot,30.616446,-96.342173,22.6
lot,30.616524,-96.342181,20
lot,30.616493,-96.342057,23
lot,30.616536,-96.341998,23.7
lot,30.616532,-96.341995,19.8
lot,30.616449,-96.342141,23.9
lot,30.616546,-96.342132,23.9
lot,30.616577,-96.342145,23.9
lot,30.616577,-96.342145,23.9
lot,30.616574,-96.341877,23.9
lot,30.616563,-96.342166,24
lot,30.616485,-96.342153,24.3
lot,30.616549,-96.342192,24.3
lot,30.616531,-96.342129,24
lot,30.616546,-96.342152,24.3
lot,30.616497,-96.342008,23.4
lot,30.616504,-96.342227,23.4
lot,30.616531,-96.342145,23.1
lot,30.616502,-96.342148,23.7
lot,30.616474,-96.342189,22.4
lot,30.616475,-96.342176,22.7
lot,30.616581,-96.341823,23.4
lot,30.616525,-96.342115,22.6
lot,30.616492,-96.342192,22.1
lot,30.616528,-96.342237,21.7
lot,30.616505,-96.34213,22.7
lot,30.616583,-96.341968,22.7
lot,30.616645,-96.341995,22.6
lot,30.616643,-96.341966,22.4
